Asset Number,Item Name,Description,Invoice,Asset Type/Name,Depreciation Method,Depreciation Rate (%),Tracking/Code,Purchase Date,Purchase Price,Fixed Asset Account/Account Code,Depr. Exp. Account/Account Code,Accum. Depr. Account/Account Code,Depreciation Periods/Depr. Amount,Depreciation Periods/From,Depreciation Periods/To
FA-0001,Motor Vehicle - WAU6818,Located in HQ,,1. Motor Vehicle,Declining Balance,20,HQFDAM02,01/01/2018,0,HQFDAM012,HQFDAM012,PPEMV0101,,,
FA-0002,Motor Vehicle - JEB 8836,Located in HQ,,1. Motor Vehicle,Declining Balance,20,HQFDAM02,01/01/2018,0,HQFDAM012,HQFDAM012,PPEMV0101,,,
FA-0003,Motor Vehicle - WXC 9696,Located in HQ,,1. Motor Vehicle,Declining Balance,20,HQFDAM02,01/10/2012,145768.1,HQFDAM012,HQFDAM012,PPEMV0101,145768.1,01/10/2012,31/12/2017
FA-0004,Motor Vehicle - WA 6982 Q,Located in HQ,,1. Motor Vehicle,Declining Balance,20,HQFDAM02,01/12/2014,100277.43,HQFDAM012,HQFDAM012,PPEMV0101,63509.04,01/12/2014,31/12/2017
FA-0005,Motor Vehicle - W 5 D,Located in HQ,,1. Motor Vehicle,Declining Balance,20,HQFDAM02,01/03/2015,602571.3,HQFDAM012,HQFDAM012,PPEMV0101,330173.93,01/03/2015,31/12/2017
FA-0006,Motor Vehicle - BNC 89,Located in HQ,,1. Motor Vehicle,Declining Balance,20,HQFDAM02,01/03/2015,92300.56,HQFDAM012,HQFDAM012,PPEMV0101,50538.69,01/03/2015,31/12/2017
FA-0007,Motor Vehicle - AEV 2,Located in HQ  Cycle & Carriage,,1. Motor Vehicle,Declining Balance,20,HQFDAM02,01/06/2016,254416.89,HQFDAM012,HQFDAM012,PPEMV0101,119747.57,01/06/2016,31/12/2017
FA-0008,Motor Vehicle - BNQ 88,Located in HQ  Ang Trading,,1. Motor Vehicle,Declining Balance,20,HQFDAM02,01/02/2016,146745.75,HQFDAM012,HQFDAM012,PPEMV0101,50373.44,01/02/2016,31/12/2017
FA-0009,Motor Vehicle - BND 88 (Vellfire),Located in HQ  E.S. Yang Motor SB,,1. Motor Vehicle,Declining Balance,20,HQFDAM02,01/06/2016,310714.91,HQFDAM012,HQFDAM012,PPEMV0101,98393.05,01/06/2016,31/12/2017
FA-0010,Motor Vehicle - WC 7778 B (Vellfire),Located in HQ  E.S. Yang Motor SB,,1. Motor Vehicle,Declining Balance,20,HQFDAM02,25/09/2017,325892.26,HQFDAM012,HQFDAM012,PPEMV0101,16294.61,25/09/2017,31/12/2017
FA-0011,Motor Vehicle - BNQ 88 (Vellfire),Located in HQ  E.S. Yang Motor SB,,1. Motor Vehicle,Declining Balance,20,HQFDAM02,30/09/2017,325892.26,HQFDAM012,HQFDAM012,PPEMV0101,16294.61,30/09/2017,31/12/2017
FA-0012,Motor Vehicle - CBM 7386,Located in KTN,,1. Motor Vehicle,Declining Balance,20,KTFWGA,01/01/2009,75000,KTFWAM010,KTFWAM010,PPEMV0101,75000,01/01/2009,31/12/2017
FA-0013,Motor Vehicle - WB 6601 R,Located in KTN  AL EDARAN,,1. Motor Vehicle,Declining Balance,20,KTFWGA,01/07/2015,123494.47,KTFWAM010,KTFWAM010,PPEMV0101,60324.76,01/07/2015,31/12/2017
FA-0014,Motor Vehicle - BNC 32,Located in KLG,,1. Motor Vehicle,Declining Balance,20,KLFWGA,01/06/2015,84058.8,KLFWAM010,KLFWAM010,PPEMV0101,42441.96,01/06/2015,31/12/2017
FA-0015,Motor Vehicle - WDJ 8300,Located in KLG,,1. Motor Vehicle,Declining Balance,20,KLFWGA,01/06/2015,9733,KLFWAM010,KLFWAM010,PPEMV0101,9733,01/06/2015,31/12/2017
